topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms,_id,source
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2100507}",2025-09-02 06:58:47.552984+00:00,0.1831,0.0,-0.4883,2100507,68b695a7125e75235a243487,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2103507}",2025-09-02 06:58:50.859680+00:00,0.1831,0.0,-0.4883,2103507,68b695aa125e75235a24348a,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2104507}",2025-09-02 06:58:51.666158+00:00,0.1831,0.061,-0.4883,2104507,68b695ab125e75235a24348b,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2108507}",2025-09-02 06:58:55.753584+00:00,0.1831,0.0,-0.4883,2108507,68b695af125e75235a24348e,tinydb
sit225/gyroscope,"{""gx"":0.1221,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2109507}",2025-09-02 06:58:56.768553+00:00,0.1221,0.0,-0.4883,2109507,68b695b0125e75235a24348f,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2113507}",2025-09-02 06:59:00.667429+00:00,0.1831,0.061,-0.4883,2113507,68b695b4125e75235a243491,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0610,""gz"":-0.4883,""t_device_ms"":2114507}",2025-09-02 06:59:01.787086+00:00,0.2441,0.061,-0.4883,2114507,68b695b5125e75235a243492,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.5493,""t_device_ms"":2117507}",2025-09-02 06:59:04.751949+00:00,0.2441,0.0,-0.5493,2117507,68b695b8125e75235a243495,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2118507}",2025-09-02 06:59:05.778861+00:00,0.1831,0.0,-0.4883,2118507,68b695b9125e75235a243496,tinydb
sit225/gyroscope,"{""gx"":0.2441,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2122507}",2025-09-02 06:59:09.679198+00:00,0.2441,0.0,-0.4883,2122507,68b695bd125e75235a243499,tinydb
sit225/gyroscope,"{""gx"":0.1831,""gy"":0.0000,""gz"":-0.4883,""t_device_ms"":2123507}",2025-09-02 06:59:10.695549+00:00,0.1831,0.0,-0.4883,2123507,68b695be125e75235a24349a,tinydb
