time,value
2025-07-29T10:43:34.679978945Z,14.899999618530273
2025-07-29T10:43:54.964641063Z,15
2025-07-29T10:48:57.04972736Z,16.100000381469727
2025-07-29T11:02:48.156906375Z,28.600000381469727
2025-07-29T11:03:13.32648233Z,28.5
2025-07-29T11:09:16.829995178Z,28.100000381469727
2025-07-29T11:09:21.747948599Z,27.899999618530273
2025-07-29T11:10:07.230218586Z,28
2025-07-29T11:10:37.33012586Z,27.899999618530273
2025-07-29T11:10:42.428170174Z,28
2025-07-29T11:10:47.548319256Z,27.899999618530273
2025-07-29T11:11:43.12537918Z,27.799999237060547
2025-07-29T11:12:18.09314335Z,27.700000762939453
2025-07-29T11:12:58.464006497Z,27.600000381469727
2025-07-29T11:13:33.65406105Z,27.5
2025-07-29T11:14:44.297077879Z,27.399999618530273
2025-07-29T11:16:24.851041131Z,27.299999237060547
2025-07-29T11:17:35.558502059Z,27.200000762939453
2025-07-29T11:19:31.252010215Z,27.100000381469727
2025-07-29T11:19:36.376116685Z,27.200000762939453
2025-07-29T11:19:41.512150478Z,27.100000381469727
2025-07-29T11:20:01.531115298Z,27.200000762939453
2025-07-29T11:20:06.694061497Z,27.100000381469727
2025-07-29T11:22:07.506451829Z,27
2025-07-29T11:22:17.748072699Z,27.100000381469727
2025-07-29T11:22:32.686010044Z,27
2025-07-29T11:25:33.929054358Z,26.899999618530273
2025-07-29T11:26:44.578162128Z,26.799999237060547
2025-07-29T11:26:49.490817155Z,26.899999618530273
2025-07-29T11:26:54.616322822Z,26.799999237060547
2025-07-29T11:26:59.731224366Z,26.899999618530273
2025-07-29T11:27:04.655979425Z,26.799999237060547
2025-07-29T11:27:44.990900874Z,26.899999618530273
2025-07-29T11:28:14.281033294Z,27.299999237060547
2025-07-29T11:28:19.395970016Z,27.100000381469727
2025-07-29T11:28:24.520960661Z,27
2025-07-29T11:28:29.43601962Z,27.100000381469727
2025-07-29T11:28:59.746310037Z,27.200000762939453
2025-07-29T11:29:24.9478052Z,27.299999237060547
2025-07-29T11:29:50.126084579Z,27.399999618530273
2025-07-29T11:30:20.231477751Z,27.5
2025-07-29T11:30:25.3560942Z,27.399999618530273
2025-07-29T11:30:30.506224426Z,27.5
2025-07-29T11:31:00.584148179Z,27.600000381469727
2025-07-29T11:31:56.080994962Z,27.700000762939453
2025-07-29T11:34:37.256254662Z,27.799999237060547
2025-07-29T11:36:23.247976333Z,27.899999618530273
2025-07-29T11:36:28.056066566Z,27.799999237060547
2025-07-29T11:36:33.170862398Z,27.899999618530273
2025-07-29T11:39:09.45798103Z,28
2025-07-29T11:39:14.356007396Z,27.899999618530273
2025-07-29T11:39:19.4709089Z,28
2025-07-29T11:43:51.461192129Z,28.100000381469727
2025-07-29T11:43:56.579213305Z,28.200000762939453
2025-07-29T11:44:01.796310642Z,28.299999237060547
2025-07-29T11:44:06.601362471Z,28.399999618530273
2025-07-29T11:44:11.753288297Z,28.5
2025-07-29T11:44:21.776490407Z,28.600000381469727
2025-07-29T11:44:36.936199658Z,28.700000762939453
2025-07-29T11:45:32.426387642Z,28.600000381469727
2025-07-29T11:46:12.657309602Z,28.5
2025-07-29T11:46:52.909357378Z,28.399999618530273
2025-07-29T11:47:38.365726316Z,28.299999237060547
2025-07-29T11:50:03.98093658Z,28.399999618530273
2025-07-29T11:50:09.119021961Z,28.100000381469727
2025-07-29T11:50:14.028036166Z,28
2025-07-29T11:50:39.410924956Z,28.100000381469727
2025-07-29T11:52:55.401770981Z,28.200000762939453
2025-07-29T11:53:00.516182384Z,28.100000381469727
2025-07-29T11:53:05.430918463Z,28.200000762939453
2025-07-29T11:53:10.551175687Z,28.100000381469727
2025-07-29T11:53:15.671404462Z,28.200000762939453
2025-07-29T11:55:11.58633743Z,28.299999237060547
2025-07-29T11:56:01.965775191Z,28.200000762939453
2025-07-29T11:56:06.887121576Z,28.299999237060547
2025-07-29T11:56:17.126257395Z,28.200000762939453
2025-07-29T11:56:52.488287808Z,28.100000381469727
2025-07-29T11:58:02.205921734Z,29
2025-07-29T11:58:07.318284516Z,29.399999618530273
2025-07-29T11:58:12.228003273Z,29.100000381469727
2025-07-29T11:58:37.432026221Z,29
2025-07-29T11:58:52.573491853Z,28.899999618530273
2025-07-29T11:59:07.74651157Z,28.799999237060547
2025-07-29T11:59:22.876610943Z,28.700000762939453
2025-07-29T11:59:38.075941372Z,28.600000381469727
2025-07-29T11:59:53.218197557Z,28.5
2025-07-29T12:00:08.408021568Z,28.399999618530273
2025-07-29T12:00:28.416049025Z,28.299999237060547
2025-07-29T12:00:48.486138219Z,28.200000762939453
2025-07-29T12:01:13.791285305Z,28.100000381469727
2025-07-29T12:01:38.89136953Z,28
2025-07-29T12:02:14.111008673Z,27.899999618530273
2025-07-29T12:02:44.424443939Z,27.799999237060547
2025-07-29T12:02:49.548201427Z,27.899999618530273
2025-07-29T12:02:54.436079286Z,27.799999237060547
2025-07-29T12:03:34.820964308Z,27.700000762939453
2025-07-29T12:03:39.715932418Z,27.799999237060547
2025-07-29T12:03:49.946131668Z,27.700000762939453
2025-07-29T12:04:55.48087561Z,27.600000381469727
2025-07-29T12:06:00.811037807Z,27.5
2025-07-29T12:06:05.93157505Z,27.600000381469727
2025-07-29T12:06:10.858077222Z,27.5
2025-07-29T12:07:06.364049402Z,27.399999618530273
2025-07-29T12:08:11.966661072Z,27.299999237060547
2025-07-29T12:09:17.42828543Z,27.200000762939453
2025-07-29T12:11:03.322114918Z,27.100000381469727
2025-07-29T12:12:18.80404691Z,27
