_id,topic,payload_raw,t_server_utc,gx,gy,gz,t_device_ms
68ad6e8d8fa4330d3d2c0d1f,sit225/gyroscope,"{""gx"":0.7324,""gy"":1.5259,""gz"":0.7324,""t_device_ms"":1379265}",2025-08-26T08:21:33.944160+00:00,0.7324,1.5259,0.7324,1379265
68ad6e8e8fa4330d3d2c0d20,sit225/gyroscope,"{""gx"":0.5493,""gy"":0.9766,""gz"":0.9766,""t_device_ms"":1380265}",2025-08-26T08:21:34.743260+00:00,0.5493,0.9766,0.9766,1380265
68ad6e8f8fa4330d3d2c0d21,sit225/gyroscope,"{""gx"":0.4883,""gy"":0.6714,""gz"":0.6714,""t_device_ms"":1381265}",2025-08-26T08:21:35.984733+00:00,0.4883,0.6714,0.6714,1381265
68ad6e918fa4330d3d2c0d22,sit225/gyroscope,"{""gx"":0.3662,""gy"":0.4883,""gz"":0.0610,""t_device_ms"":1382265}",2025-08-26T08:21:37.001148+00:00,0.3662,0.4883,0.061,1382265
68ad6e928fa4330d3d2c0d23,sit225/gyroscope,"{""gx"":0.5493,""gy"":0.7935,""gz"":0.4272,""t_device_ms"":1383265}",2025-08-26T08:21:38.020382+00:00,0.5493,0.7935,0.4272,1383265
68ad6e938fa4330d3d2c0d24,sit225/gyroscope,"{""gx"":0.4883,""gy"":0.5493,""gz"":0.4272,""t_device_ms"":1384265}",2025-08-26T08:21:39.051301+00:00,0.4883,0.5493,0.4272,1384265
68ad6e948fa4330d3d2c0d25,sit225/gyroscope,"{""gx"":0.3662,""gy"":1.0376,""gz"":1.2817,""t_device_ms"":1385265}",2025-08-26T08:21:40.086936+00:00,0.3662,1.0376,1.2817,1385265
68ad6e948fa4330d3d2c0d26,sit225/gyroscope,"{""gx"":0.4272,""gy"":1.0376,""gz"":1.0376,""t_device_ms"":1386265}",2025-08-26T08:21:40.935114+00:00,0.4272,1.0376,1.0376,1386265
68ad6e968fa4330d3d2c0d27,sit225/gyroscope,"{""gx"":-0.3662,""gy"":-0.3052,""gz"":1.2817,""t_device_ms"":1387265}",2025-08-26T08:21:42.024381+00:00,-0.3662,-0.3052,1.2817,1387265
68ad6e968fa4330d3d2c0d28,sit225/gyroscope,"{""gx"":0.4272,""gy"":0.9155,""gz"":0.5493,""t_device_ms"":1388265}",2025-08-26T08:21:42.584932+00:00,0.4272,0.9155,0.5493,1388265
68ad6e978fa4330d3d2c0d29,sit225/gyroscope,"{""gx"":1.3428,""gy"":1.0986,""gz"":0.3662,""t_device_ms"":1389265}",2025-08-26T08:21:43.967731+00:00,1.3428,1.0986,0.3662,1389265
68ad6e998fa4330d3d2c0d2a,sit225/gyroscope,"{""gx"":0.3052,""gy"":0.5493,""gz"":1.3428,""t_device_ms"":1390265}",2025-08-26T08:21:45.057514+00:00,0.3052,0.5493,1.3428,1390265
