Timestamp,X,Y,Z
20250804-233753,0.183,0.0,-0.488
20250804-233754,0.183,-0.061,-0.427
20250804-233755,0.183,0.0,-0.427
20250804-233756,0.183,0.0,-0.427
20250804-233757,0.183,0.0,-0.427
20250804-233758,0.244,-0.122,-0.549
20250804-233759,0.183,0.0,-0.488
20250804-233800,0.183,0.0,-0.488
20250804-233801,0.183,0.0,-0.488
20250804-233802,0.183,0.0,-0.488
20250804-233803,0.183,0.0,-0.427
20250804-233804,0.183,0.0,-0.488
20250804-233805,0.183,0.0,-0.427
20250804-233806,0.183,0.0,-0.488
20250804-233807,0.183,0.0,-0.488
20250804-233808,0.183,0.0,-0.427
20250804-233809,0.183,0.0,-0.488
20250804-233810,0.183,0.0,-0.427
20250804-233811,0.183,0.0,-0.488
20250804-233812,0.183,0.0,-0.427
20250804-233813,0.183,0.0,-0.427
20250804-233814,0.183,0.0,-0.488
20250804-233815,0.183,0.0,-0.488
20250804-233816,0.183,0.0,-0.488
20250804-233817,0.183,0.0,-0.427
20250804-233818,0.183,0.0,-0.488
20250804-233819,0.183,0.0,-0.488
20250804-233820,0.122,0.0,-0.488
20250804-233821,0.183,0.0,-0.488
20250804-233822,0.183,0.0,-0.488
20250804-233823,0.183,0.0,-0.488
20250804-233824,0.122,0.0,-0.488
20250804-233825,0.183,0.0,-0.488
20250804-233826,0.183,0.0,-0.427
20250804-233827,0.244,0.0,-0.488
20250804-233828,0.183,0.0,-0.488
20250804-233829,0.183,0.0,-0.488
20250804-233830,0.183,0.0,-0.427
20250804-233831,0.183,0.0,-0.488
20250804-233832,0.183,0.0,-0.488
20250804-233833,0.183,0.0,-0.488
20250804-233834,0.183,0.0,-0.427
20250804-233835,0.183,0.0,-0.488
20250804-233836,0.122,0.0,-0.427
20250804-233837,0.183,0.0,-0.488
20250804-233838,0.183,0.0,-0.427
20250804-233839,0.183,0.0,-0.427
20250804-233840,0.183,0.061,-0.427
20250804-233841,0.122,0.0,-0.488
20250804-233842,0.183,0.0,-0.488
20250804-233843,0.183,0.0,-0.488
20250804-233844,0.122,0.0,-0.427
20250804-233845,0.122,0.0,-0.488
20250804-233846,0.183,0.0,-0.488
20250804-233847,0.183,0.0,-0.488
